Count,Sherd sample Database Individual  number,Sherd_ID_original ,Sample_ID,Vessel_ID,Site_code,Site_name,Country,Region,Latitude ,Longitude ,Phase,Phase_2,Sample_type,Yield_AE,d13C16,d13C18,bigD,Miliacin,Aquatic,AE GC-MS Scan Data file ,TMTD,Pristanic ,Phytanic,SRR_RRR ,APAA_range,APAA_C18_area ,APAA_C20_area ,APAA_EH,APAA_20_18,
97,ENC282,SAS.5.SK.177(no sherd ID but context ID),SAS07IAE,SAS07,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,24.62,-17.116,-22.4,-5.284,no,no,2021_07_16_SSMB,no,no,yes,90.5,,110269,0,5.26,,
98,ENC283,SAS.5.SK.177(no sherd ID but context ID),SAS08IAE,SAS08,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,11.81,-29.295,-29.582,-0.287,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
99,ENC284,SAS.5.SK.177(no sherd ID but context ID),SAS09IAE,SAS09,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,7.06,,,,no,no,2021_07_16_SSMB,no,no,tr,,,0,0,,,
100,ENC285,SAS.5.SK.177(no sherd ID but context ID),SAS10IAE,SAS10,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,22.62,-28.258,-27.538,0.72,no,no,2021_07_16_SSMB,no,no,no,,,0,0,,,
101,ENC286,SAS.5.SK.177(no sherd ID but context ID),SAS11IAE,SAS11,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,3.88,,,,no,no,2021_07_16_SSMB,no,tr,no,,,0,0,,,
102,ENC287,SAS.5.SK.177(no sherd ID but context ID),SAS12IAE,SAS12,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,17.18,-29.135,-29.301,-0.166,no,no,2021_07_16_SSMB,no,tr,yes,90.2,,0,0,,,
103,ENC288,SAS.5.SK.177 No.8,SAS13IAE,SAS13,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,4.52,,,,no,no,2021_07_19_MB,no,tr,no,,,0,0,,,
104,ENC289,SAS.5.SK.177 No.7,SAS14IAE,SAS14,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,5.2,,,,no,no,2021_07_19_MB,no,no,no,,,0,0,,,
105,ENC290,SAS.5.SK.177(no sherd ID but context ID),SAS15IAE,SAS15,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,4.75,,,,no,no,2021_07_19_MB,no,yes,tr,,,0,0,,,
106,ENC291,SAS.5.SK.177(no sherd ID but context ID),SAS16IAE,SAS16,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,19.65,-23.221,-25.247,-2.026,no,no,2021_07_19_MB,tr,no,yes,94.3,,0,0,,,
107,ENC292,SAS.5.SK.177(no sherd ID but context ID),SAS17IAE,SAS17,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,29.37,-30.072,-29.88,0.191,no,no,2021_07_19_MB,no,yes,no,,,0,0,,,
108,ENC293,SAS.5.SK.177(no sherd ID but context ID),SAS18IAE,SAS18,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,1.85,,,,no,no,2021_07_19_MB,no,tr,no,,,0,0,,,
109,ENC294,SAS.5.SK.177(no sherd ID but context ID),SAS19IAE,SAS19,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,3.3,,,,no,no,2021_07_19_MB,no,no,no,,,33.45,0,,,
110,ENC295,SAS.5.SK.177(no sherd ID but context ID),SAS20IAE,SAS20,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,29.93,-29.649,-30.98,-1.331,no,no,2021_07_19_MB,tr,no,yes,74.3,,33.45,0,,,
111,ENC296,SAS.5.SK.177(no sherd ID but context ID),SAS21IAE,SAS21,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,7.02,,,,no,no,2021_07_19_MB,no,no,no,,,33.45,0,,,
112,ENC297,SAS.5.SK.188 lower layer(no sherd ID but context ID),SAS22IAE,SAS22,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,3.14,,,,no,no,2021_07_19_MB,no,tr,no,,,33.45,0,,,
113,ENC298,SAS.5.SK.188(no sherd ID but context ID),SAS23IAE,SAS23,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,8.61,-29.546,-29.224,0.321,no,no,2021_07_19_MB,no,tr,no,,,33.45,0,,,
114,ENC299,SAS.5.SK.188 group d(no sherd ID but context ID),SAS24IAE,SAS24,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,6.5,-30.164,-29.682,0.482,no,no,2021_07_19_MB,no,no,no,,,33.45,0,,,
115,ENC300,SAS.5.SK.188(no sherd ID but context ID),SAS25IAE,SAS25,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,5.41,,,,no,no,2021_07_19_MB,no,no,no,,,33.45,0,,,
116,ENC301,SAS.5.SK.188(no sherd ID but context ID),SAS26IAE,SAS26,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,10.1,-29.785,-29.519,0.266,no,no,2021_07_19_MB,no,yes,no,,,33.45,0,,,
117,ENC302,SAS.5.SK.188(no sherd ID but context ID),SAS27IAE,SAS27,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,5.96,,,,no,no,2021_07_19_MB,no,no,no,,,33.45,0,,,
118,ENC303,SAS.5.SK.188(no sherd ID but context ID),SAS28IAE,SAS28,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,8.95,-29.651,-29.444,0.207,no,no,2021_07_19_MB,no,tr,no,,,33.45,0,,,
119,ENC304,SAS.5.SK.188(no sherd ID but context ID),SAS29IAE,SAS29,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,4.43,,,,no,no,2021_07_19_MB,no,tr,no,,,33.45,0,,,
120,ENC305,SAS.5.SK.188(no sherd ID but context ID),SAS30IAE,SAS30,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,11.46,-26.489,-26.079,0.41,no,no,2021_07_19_MB,no,tr,tr,,,33.45,0,,,
121,ENC306,SAS.5.SK.188(no sherd ID but context ID),SAS31IAE,SAS31,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,26.43,-30.088,-29.668,0.42,no,no,2021_07_19_MB,no,tr,no,,,33.45,0,,,
122,ENC307,SAS.5.SK.188(no sherd ID but context ID),SAS32IAE,SAS32,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,4,,,,no,no,2021_07_19_MB,no,yes,no,,,37.03350588,0,,,
123,ENC308,SAS.5.SK.188(no sherd ID but context ID),SAS33IAE,SAS33,SAS,Sasai,Japan,Kyushu,33.35,130.27,Early Yayoi,Yayoi,ceramic,5.54,,,,no,no,2021_07_19_MB,no,tr,no,,,37.03350588,0,,,
124,ENC724,FJ79,SAS34FIAE,SAS34FI,SAS,Sasai,Japan,Kyushu,33.35,130.27,Initial Yayoi,Yayoi,foodcrust,227.06,,,,no,no,2024_05_20_JL_DB5_KNI_SAS_NBK_TKD,yes ,no,no,,,36.88875302,0,,,
125,ENC725,FJ86,SAS35FIAE,SAS35FI,SAS,Sasai,Japan,Kyushu,33.35,130.27,Initial Yayoi,Yayoi,foodcrust,4326.43,-29.351,-29.022,0.329,no,no,2024_05_20_JL_DB5_KNI_SAS_NBK_TKD,yes ,no,yes ,90.8,,167016,0,,,
126,ENC729,FJ0408,NBK001FIAE,NBK001FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Initial Yayoi ,Yayoi,foodcrust,80.78,-27.636,-28.212,-0.576,no,no,2024_05_20_JL_DB5_KNI_SAS_NBK_TKD,yes ,no ,yes ,63.8,,107375,3886,4.68,0.036,
127,ENC730,FJ0412,NBK002FIAE,NBK002FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Initial Yayoi ,Yayoi,foodcrust,440.91,-23.735,-24.605,-0.87,no,yes,2024_05_20_JL_DB5_KNI_SAS_NBK_TKD,yes ,no ,yes ,56.3,,41385,6407,5.23,0.155,
128,ENC731,FJ0415,NBK003FIAE,NBK003FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,325.23,-32.55,-32.475,0.075,no,no,2024_05_20_JL_DB5_KNI_SAS_NBK_TKD,yes ,no ,yes ,80.5,,1921365,19181,5.61,0.01,
129,ENC732,FJ0423,NBK004FIAE,NBK004FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,109.94,-21.404,-21.351,0.054,no,no,2024_05_20_JL_DB5_KNI_SAS_NBK_TKD,yes ,no ,yes ,57.4,,60826,2460,3.11,0.04,
130,ENC733,FJ-0409,NBK005FIAE,NBK005FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,7313.87,-24.96,-25.927,-0.967,no,yes,,yes ,yes ,yes ,61,,114424,18280,8.01,0.16,
131,ENC734,FJ-0418,NBK006FIAE,NBK006FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,7333.83,-22.889,-23.522,-0.632,no,yes,,yes ,yes ,yes ,64.1,,159952,25859,7.73,0.162,
132,ENC735,FJ-0420,NBK007FIAE,NBK007FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,436.69,-26.234,-25.789,0.445,no,no,,yes ,no ,yes ,56,,15977,0,3.55,,
133,ENC736,FJ-0422,NBK008FIAE,NBK008FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,3173.06,-21.156,-22.095,-0.939,no,yes,,yes ,yes ,yes ,68.9,,86875,20620,3.52,0.237,
134,ENC737,FJ-0424,NBK009FIAE,NBK009FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,1267.46,-31.331,-31.604,-0.274,no,no,,yes ,no ,yes ,68.9,,64336,0,10.36,,
135,ENC738,FJ-0425,NBK010FIAE,NBK010FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,408.9,-33.369,-32.278,1.091,no,no,,yes ,no ,yes ,42.7,,73753,3478,4.01,0.047,
136,ENC739,FJ-0428a,NBK011FIAE,NBK011FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,463.13,-22.791,-24.435,-1.643,no,no,,yes ,no ,yes ,66.9,,,0,,,
137,ENC740,FJ-0428b,NBK012FIAE,NBK012FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,908.07,-23.468,-24.003,-0.535,no,yes,,yes ,yes ,yes ,62.3,,26442,11098,4.06,0.42,
138,ENC741,FJ-0413,NBK013FIAE,NBK013FI,NBK,Nabatake,Japan,Kyushu,33.45,129.95,Early Yayoi ,Yayoi,foodcrust,103.44,,,,no,no,,yes ,yes ,yes ,50.6,,3458,0,4.78,0,
139,,웅덩이(cotext name),MJR_29_SS20201126,MJR29,MJR,Majeon-ri,Korea,Hoseo,37.034,127.346,Late Bronze,Mumun,ceramic,42,-25.89,-26.09,-0.19,no,yes,,,,,93.6,,,,2.9,,
140,,웅덩이(cotext name),MJR_43_SS20201130,MJR43,MJR,Majeon-ri,Korea,Hoseo,37.034,127.346,Late Bronze,Mumun,ceramic,154,-26.29,-25.72,0.57,yes,yes,,,,,77,,,,3.5,,
141,,웅덩이(cotext name),MJR_44_SS20201130,MJR44,MJR,Majeon-ri,Korea,Hoseo,37.034,127.346,Late Bronze,Mumun,ceramic,21,-25.79,-26.33,-0.54,yes,yes,,,,,100,,,,4.2,,
142,,KC-002(no sherd ID but context ID),DPR_001_SS20201111,DPR001,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,11,-30.01,-29.73,0.29,no,no,,,,,,,,,,,
143,,KC-002(no sherd ID but context ID),DPR002IAE,DPR002,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,4,,,,no,no,,,,,,,,,,,
144,,KC-002(no sherd ID but context ID),DPR_003_SS20201111,DPR003,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,8,-28.36,-29.32,-0.96,no,no,,,,,,,,,,,
145,,KC-002(no sherd ID but context ID),DPR004IAE,DPR004,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,5,,,,no,no,,,,,,,,,,,
146,,KC-002(no sherd ID but context ID),DPR005IAE,DPR005,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,5,,,,no,no,,,,,,,,,,,
147,,KC-005(no sherd ID but context ID),DPR006IAE,DPR006,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,3,,,,no,no,,,,,,,,,,,
148,,KC-005(no sherd ID but context ID),DPR_007_SS20201106,DPR007,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,111,-24.36,-24.07,0.28,yes,no,,,,,,,,,,,
149,,KC-005(no sherd ID but context ID),DPR_008_SS20201106,DPR008,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,45,-27.63,-26.82,0.8,yes,no,,,,,,,,,10.44,,
150,,KC-005(no sherd ID but context ID),DPR_009_SS20201106,DPR009,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,75,-24.16,-23.85,0.3,yes,no,,,,,,,,,9.45,,
151,,KC-004(no sherd ID but context ID),DPR010IAE,DPR010,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,5,,,,no,no,,,,,,,,,,,
152,,KC-004(no sherd ID but context ID),DPR_011_SS20201106,DPR011,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,19,-17.35,-18.53,-1.17,yes,no,,,,,,,,,2.2,,
153,,KC-004(no sherd ID but context ID),DPR012IAE,DPR012,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,6,,,,no,no,,,,,,,,,,,
154,,KC-008(no sherd ID but context ID),DPR_013_SS20201106,DPR013,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,12,-29.45,-29.83,-0.38,no,no,,,,,,,,,,,
155,,KC-008(no sherd ID but context ID),DPR_014_SS20201106,DPR014,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,9,-29.17,-29.8,-0.63,no,no,,,,,,,,,,,
156,,KC-008(no sherd ID but context ID),DPR015IAE,DPR015,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,5,,,,no,no,,,,,,,,,,,
157,,KC-008(no sherd ID but context ID),DPR-016_IAE,DPR016,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,8,-29.92,-30.62,-0.7,yes,no,,,,,,,,,,,
158,,KC-008(no sherd ID but context ID),DPR-017_IAE,DPR017,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,6,-29.22,-30.19,-0.97,no,no,,,,,,,,,,,
159,,KC-008(no sherd ID but context ID),DPR-018IAE,DPR018,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,11,,,,no,no,,,,,,,,,,,
160,,KC-010(no sherd ID but context ID),DPR_019,DPR019,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,19,-25.18,-24.15,1.02,no,no,,,,,,,,,9.78,,
161,,KC-010(no sherd ID but context ID),DPR021IAE,DPR021,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,6,,,,no,no,,,,,,,,,,,
162,,KC-010(no sherd ID but context ID),DPR022IAE,DPR022,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,6,,,,no,no,,,,,,,,,,,
163,,KC-012(no sherd ID but context ID),DPR023IAE,DPR023,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,8,,,,yes,no,,,,,,,,,,,
164,,KC-012(no sherd ID but context ID),DPR024IAE,DPR024,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,8,,,,no,no,,,,,,,,,,,
165,,KC-013(no sherd ID but context ID),DPR-025_IAE,DPR025,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,7,-29.31,-30.08,-0.77,no,no,,,,,,,,,,,
166,,KC-013(no sherd ID but context ID),DPR_026_SS20201111,DPR026,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,8,-26.33,-25.64,0.69,no,no,,,,,,,,,,,
167,,KC-013(no sherd ID but context ID),DPR027IAE,DPR027,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,8,,,,no,no,,,,,,,,,,,
168,,KC-016(no sherd ID but context ID),DPR028IAE,DPR028,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,7,,,,no,no,,,,,,,,,,,
169,,KC-016(no sherd ID but context ID),DPR029IAE,DPR029,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,7,,,,yes,no,,,,,,,,,,,
170,,KC-016(no sherd ID but context ID),DPR030IAE,DPR030,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,6,,,,no,no,,,,,,,,,,,
171,,KC-017(no sherd ID but context ID),DPR_031_SS20201111,DPR031,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,23,-26.77,-26,0.77,no,no,,,,,,,,,8.46,,
172,,KC-017(no sherd ID but context ID),DPR_032_SS20201111,DPR032,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,26,-24.29,-25.72,-1.43,no,no,,,,,,,,,7.03,,
173,,KC-017(no sherd ID but context ID),DPR-033_IAE,DPR033,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,9,-28.77,-29.91,-1.14,no,no,,,,,,,,,,,
174,,KC-017(no sherd ID but context ID),DPR034IAE,DPR034,DPR,Daepyong-ri,Korea,Hoseo,36.889,127.293,Early Bronze ,Mumun,ceramic,10,,,,no,no,,,,,,,,,,,
175,,KC-013(no sherd ID but context ID),JKR01,JKR01,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,28.35,-26.83,-24.75,2.08,no,no,,,,,,,,,,,
176,,KC-012(no sherd ID but context ID),JKR02,JKR02,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,5.91,,,,no,no,,,,,,,,,,,
177,,KC-008(no sherd ID but context ID),JKR03,JKR03,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,7.96,,,,no,no,,,,,,,,,,,
178,,KC-008(no sherd ID but context ID),JKR04,JKR04,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,57.48,-27.16,-26.05,1.11,no,no,,,,,100,,,,14.8,,
179,,KC-018(no sherd ID but context ID),JKR05,JKR05,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,4.85,,,,no,no,,,,,,,,,,,
180,,KC-014(no sherd ID but context ID),JKR06,JKR06,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,8.98,,,,no,no,,,,,,,,,,,
181,,KC-018(no sherd ID but context ID),JKR07,JKR07,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,6.07,,,,no,no,,,,,,,,,,,
182,,KC-013(no sherd ID but context ID),JKR08,JKR08,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,8.97,,,,no,no,,,,,,,,,,,
183,,KC-018(no sherd ID but context ID),JKR09,JKR09,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,8.09,,,,no,no,,,,,,,,,,,
184,,KC-013(no sherd ID but context ID),JKR10,JKR10,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,42.11,-26.7,-24.9,1.8,no,no,,,,,,,,,,,
185,,KC-018(no sherd ID but context ID),JKR11,JKR11,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,13.07,-29.56,-29.53,0.03,no,no,,,,,,,,,,,
186,,KC-013(no sherd ID but context ID),JKR12,JKR12,JKR,Jukyo-ri,Korea,Hoseo,36.397,126.555,Early Bronze ,Mumun,ceramic,7.38,-28.65,-29.2,-0.55,yes,no,,,,,,,,,,,
187,,KC-018(no sherd ID but context ID),KCR01,KCR01,KCR,Kwanchang-ri,Korea,Hoseo,36.377,126.578,Late Bronze,Mumun,ceramic,5.83,,,,no,no,,,,,,,,,,,
188,,KC-052(no sherd ID but context ID),KCR02,KCR02,KCR,Kwanchang-ri,Korea,Hoseo,36.377,126.578,Late Bronze,Mumun,ceramic,9.25,,,,no,no,,,,,,,,,,,
189,,KC-082(no sherd ID but context ID),KCR03,KCR03,KCR,Kwanchang-ri,Korea,Hoseo,36.377,126.578,Late Bronze,Mumun,ceramic,5.09,,,,no,no,,,,,,,,,,,
190,,KC-063(no sherd ID but context ID),KCR04,KCR04,KCR,Kwanchang-ri,Korea,Hoseo,36.377,126.578,Late Bronze,Mumun,ceramic,4.77,,,,yes,no,,,,,,,,,,,
191,,KC-035(no sherd ID but context ID),KCR05,KCR05,KCR,Kwanchang-ri,Korea,Hoseo,36.377,126.578,Late Bronze,Mumun,ceramic,10.68,,,,no,no,,,,,,,,,,,
